11;División de Humanidades;11.01818884208554;-74.85012206804583;11.018223307359884;-74.85024496197127
12;Ingeniería Civil y Ambiental;11.01899627757815;-74.85084041237258;11.01899627757815;-74.85084041237258
13;Ingeniería Eléctrica y Electrónica;11.019291016081212;-74.85175251960754;11.019310761756671;-74.85172301530838
14;División de Ingenierías;11.018454990709191;-74.85104962467574;11.018477493100397;-74.85100674893379
15;Escuela de Negocios;11.019745042386488;-74.84972997784041;11.019681980208658;-74.84961278736591
16;Ingeniería Sistemas;11.01893627757815;-74.85086068511009;11.01899627757815;-74.85084041237258
17;Ingeniería Industrial;11.018781577196265;-74.85093176364899;11.018757882342937;-74.85091298818588
18;División Ciencias Básicas;11.019355394720966;-74.85155387997054;11.019321292783037;-74.85157415270805
19;Ingeniería Mecánica;11.019283113569786;-74.85073897611926;11.019283113569786;-74.85073897611926
20;Departamento de Lenguas;11.018721577196265;-74.85093176364899;11.018757882342937;-74.85091298818588
21;Música;11.018562216017436;-74.85021326315234;11.018562216017436;-74.85021326315234
25;División Ciencias de la Salud;11.01826016608675;-74.85026105522536;11.01826016608675;-74.85026105522536
26;División Ciencias Jurídicas;11.01869720492478;-74.85085650562667;11.01869720492478;-74.85085650562667
57;Comunicación Social y Periodismo;11.018233838425179;-74.85033615707778;11.018233838425179;-74.85033615707778
59;Psicología;11.018223307359884;-74.85024496197127;11.018223307359884;-74.85024496197127
60;Arquitectura, Urbanismo, Diseño;11.019371191257981;-74.85152169346236;11.019321292783037;-74.85157415270805
63;Derecho y Ciencia Política;11.01897627757815;-74.85084041237258;11.01899627757815;-74.85084041237258
66;Instituto de Estudios Económicos del Caribe;11.018249635022409;-74.85027714847945;11.018249635022409;-74.85027714847945
70;Licenciatura Pedagogía Infantil;11.018149589892323;-74.85199376224898;11.018149589892323;-74.85199376224898
71;Enfermería;11.018533973627482;-74.85014840244673;11.018533973627482;-74.85014840244673
72;Medicina;11.018765656732194;-74.85019131779097;11.018765656732194;-74.85019131779097
74;Matemáticas;11.019007870692041;-74.85164507507704;11.018892153153208;-74.85158957540989
75;Historia y Ciencias Sociales;11.018533973627482;-74.85020204662703;11.018533973627482;-74.85020204662703
76;Humanidades y Filosofía;11.018728798068633;-74.850915514225;11.018728798068633;-74.850915514225
99;Biblioteca Karl C Parrish;11.01793896845463;-74.8503415214958;11.01793896845463;-74.8503415214958
2;Coliseo Cultural y Deportivo;11.02040849533232;-74.8503415214958;11.020004492313305;-74.85043287277222
86;Gimnasio;11.02019787551161;-74.85049708961867;11.020004492313305;-74.85043287277222
87;Cancha de básquet;11.020261061473649;-74.8503576147499;11.020004492313305;-74.85043287277222
88;Salón de danza y aeróbicos;11.020187344516618;-74.85024496197127;11.020004492313305;-74.85043287277222
90;Chancha de Racquetball;11.020042667192108;-74.85069572925568;11.020042667192108;-74.85069572925568
94;Cancha de tenis;11.020103096543092;-74.85008402943038;11.020103096543092;-74.85008402943038
95;Cancha de microfútbol;11.020369004127442;-74.84999551653289;11.020369004127442;-74.84999551653289
96;Bienestar Universitario;11.020087300045363;-74.85023959755324;11.020004492313305;-74.85043287277222
97;Centro Cultural Cayena;11.020166282525501;-74.85049172520064;11.020004492313305;-74.85043287277222
98;Univoluntarios;11.020192610014163;-74.85056682705306;11.020004492313305;-74.85043287277222
104;Cancha de fútbol;11.020140078929314;-74.84806448221207;11.020220377769522;-74.8485848376096
115;Cancha múltiple;11.01946860321751;-74.84741523146056;11.01946860321751;-74.84741523146056
117;Sala No. 2 o sala de música;11.020129424037405;-74.85053464054488;11.020004492313305;-74.85043287277222
123;Salón No.1;11.020066238047084;-74.85024496197127;11.020004492313305;-74.85043287277222
6;Centro de integrado de materiales y manufactura;11.01929747407798;-74.85106571792983;11.01929747407798;-74.85106571792983
22;Laboratorio de Automatización y Robótica;11.019273539917352;-74.85093209516833;11.019273539917352;-74.85093209516833
23;Laboratorio de Aguas y Sanitarias;11.018870009802418;-74.85161874067614;11.018870009802418;-74.85161874067614
41;Laboratorio de Electrónica y Comunicaciones;11.018950907377084;-74.85095355284045;11.01899627757815;-74.85084041237258
44;Laboratorio de Psicología;11.018522485195192;-74.8500630594475;11.018556476012657;-74.8501780629158
45;Laboratorio de Redes;11.018986808616486;-74.85110912096332;11.01899627757815;-74.85084041237258
48;Laboratorio Diseño Industrial;11.019398476212773;-74.85153290998767;11.019321292783037;-74.85157415270805
49;Laboratorio de Arqueología;11.017843710138788;-74.8503688312752;11.017843710138788;-74.8503688312752
50;Laboratorio de Aprendizaje activo y colaborativo en ambientes digitales;11.018934632099173;-74.85095355284045;11.01899627757815;-74.85084041237258
51;Laboratorios Multifuncionales para Ciencias Biológicas y Biomédicas;11.018633061269599;-74.85049221288989;11.018633061269599;-74.85049221288989
61;Laboratorio de Control y Automatización;11.01894851393619;-74.8509803749306;-74.85095355284045;11.01899627757815
65;Laboratorio de Enfermedades Tropicales;11.01855503573544;-74.85014889013598;11.018555159630958;-74.85019952058792
67;Laboratorio de Física Calor-Ondas;11.018340106435675;-74.85061023008655;11.018340106435675;-74.85061023008655
68;Laboratorio de Física Eléctrica;11.018274526644866;-74.8505673147423;11.018274526644866;-74.8505673147423
73;Laboratorio de Física Mecánica;11.018321437723193;-74.8507818914635;11.018321437723193;-74.8507818914635
121;Laboratorio de Fisiología e Histología;11.018670877302306;-74.84999283432387;11.018670877302306;-74.84999283432387
139;Laboratorio de Fitoquímica;11.018281228214313;-74.85061510681533;11.018281228214313;-74.85061510681533
